epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7245,2.28762,4.53198,1.38627,0.56525,0.68053,0.60093,0.26857,1.41676,71.0153,0.9275,0.000332709,0.000332709,0.000332709
2,78.4854,1.92694,2.07331,1.20707,0.71133,0.75556,0.74691,0.33595,1.39473,30.7186,0.9259,0.000652855,0.000652855,0.000652855
3,112.774,1.8866,1.55372,1.20349,0.71542,0.78966,0.75725,0.34575,1.37831,38.0941,0.92243,0.0009598,0.0009598,0.0009598
4,146.327,1.84114,1.35433,1.18009,0.80409,0.83479,0.86207,0.38025,1.41227,17.4564,0.92234,0.0009406,0.0009406,0.0009406
5,180.022,1.80978,1.23462,1.15793,0.7886,0.85787,0.8834,0.44552,1.28957,26.6686,0.88557,0.0009208,0.0009208,0.0009208
6,213.986,1.77534,1.15062,1.1457,0.92775,0.91432,0.95046,0.47082,1.30179,3.7074,0.88339,0.000901,0.000901,0.000901
7,247.733,1.76268,1.11365,1.143,0.93262,0.90731,0.94805,0.48151,1.25498,8.02455,0.86825,0.0008812,0.0008812,0.0008812
8,281.609,1.74245,1.05846,1.13068,0.93666,0.91005,0.94973,0.46151,1.31033,1.52697,0.88776,0.0008614,0.0008614,0.0008614
9,315.853,1.71596,1.01906,1.12128,0.9438,0.93508,0.96031,0.49167,1.26685,2.87182,0.86573,0.0008416,0.0008416,0.0008416
10,349.678,1.71946,0.98665,1.12093,0.94214,0.9307,0.9644,0.4914,1.26488,3.10145,0.86546,0.0008218,0.0008218,0.0008218
11,383.431,1.7068,0.96251,1.1109,0.93988,0.92671,0.96564,0.50245,1.24186,1.01196,0.86117,0.000802,0.000802,0.000802
12,417.664,1.69103,0.93947,1.10701,0.96383,0.94229,0.97054,0.51042,1.23055,0.98765,0.85502,0.0007822,0.0007822,0.0007822
13,452.55,1.68762,0.92242,1.10337,0.95269,0.93815,0.96468,0.48639,1.26593,1.24813,0.85915,0.0007624,0.0007624,0.0007624
14,486.562,1.67492,0.89898,1.0972,0.8931,0.91923,0.95207,0.49043,1.24683,16.8553,0.85558,0.0007426,0.0007426,0.0007426
15,521.338,1.66354,0.88161,1.09525,0.96642,0.93997,0.9709,0.49104,1.2559,4.12917,0.85876,0.0007228,0.0007228,0.0007228
16,555.003,1.6504,0.86703,1.0853,0.90741,0.92198,0.95395,0.49974,1.22409,20.3537,0.84378,0.000703,0.000703,0.000703
17,588.924,1.64148,0.85195,1.0893,0.97641,0.95843,0.98079,0.51809,1.22599,0.61625,0.84567,0.0006832,0.0006832,0.0006832
18,622.726,1.62764,0.8346,1.08523,0.96877,0.94816,0.97467,0.51206,1.21542,1.73423,0.84275,0.0006634,0.0006634,0.0006634
19,656.6,1.63077,0.8273,1.08722,0.96365,0.9385,0.97174,0.51613,1.22949,0.62941,0.84861,0.0006436,0.0006436,0.0006436
20,690.472,1.61822,0.8237,1.07804,0.97268,0.96725,0.98198,0.52151,1.21885,0.89431,0.83993,0.0006238,0.0006238,0.0006238
21,724.15,1.62262,0.81258,1.08034,0.97284,0.97023,0.97987,0.52769,1.20111,0.73843,0.83721,0.000604,0.000604,0.000604
22,757.958,1.61035,0.80295,1.0742,0.96694,0.96528,0.97836,0.5245,1.20619,5.56112,0.83693,0.0005842,0.0005842,0.0005842
23,791.266,1.60288,0.78893,1.06691,0.9696,0.96445,0.97597,0.51998,1.20485,0.81548,0.83423,0.0005644,0.0005644,0.0005644
24,824.645,1.59202,0.77572,1.06519,0.97592,0.9583,0.98085,0.52613,1.19786,0.92435,0.82918,0.0005446,0.0005446,0.0005446
25,858.395,1.58292,0.76806,1.06398,0.97059,0.97387,0.98186,0.53168,1.19317,0.69428,0.82944,0.0005248,0.0005248,0.0005248
26,892.444,1.58296,0.76121,1.05774,0.9721,0.97308,0.98281,0.52959,1.19774,1.75554,0.83271,0.000505,0.000505,0.000505
27,926.042,1.57774,0.76066,1.06098,0.97139,0.97417,0.98362,0.54042,1.18365,0.60113,0.826,0.0004852,0.0004852,0.0004852
28,959.626,1.56953,0.75334,1.05719,0.97833,0.96742,0.98509,0.53127,1.1852,0.6064,0.82921,0.0004654,0.0004654,0.0004654
29,993.679,1.56137,0.7423,1.05408,0.97825,0.97294,0.98559,0.54101,1.17154,0.60509,0.82421,0.0004456,0.0004456,0.0004456
30,1027.94,1.55251,0.73267,1.05674,0.98025,0.97134,0.98309,0.54739,1.16608,0.59284,0.82112,0.0004258,0.0004258,0.0004258
31,1061.81,1.53961,0.72898,1.04855,0.97458,0.96977,0.98473,0.54444,1.16961,0.53325,0.82351,0.000406,0.000406,0.000406
32,1095.47,1.5293,0.71921,1.05209,0.97724,0.97152,0.98261,0.54835,1.15941,0.54181,0.81982,0.0003862,0.0003862,0.0003862
33,1129.51,1.53575,0.71418,1.04691,0.97215,0.97881,0.98597,0.54766,1.16311,0.60679,0.82056,0.0003664,0.0003664,0.0003664
34,1163.07,1.52566,0.70579,1.04549,0.97455,0.97483,0.98388,0.54467,1.16083,0.51586,0.81847,0.0003466,0.0003466,0.0003466
35,1196.55,1.51982,0.70583,1.04096,0.97266,0.9797,0.98245,0.55156,1.14916,0.55256,0.81544,0.0003268,0.0003268,0.0003268
36,1230.09,1.50979,0.69735,1.03994,0.97693,0.97936,0.9856,0.55128,1.15724,0.61777,0.81644,0.000307,0.000307,0.000307
37,1263.04,1.5004,0.68266,1.03264,0.97495,0.97954,0.98618,0.55315,1.15323,0.57291,0.81426,0.0002872,0.0002872,0.0002872
38,1296.84,1.49949,0.68816,1.03813,0.98095,0.97459,0.98406,0.55362,1.15353,0.51865,0.8156,0.0002674,0.0002674,0.0002674
